Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 18 | seedy: 5 (baza 1000) | limit komend: 8000

== aggro vs heuristic ==
  aggro 32.0% (547/1710) | heuristic 68.0% (1163/1710)
  niedokończone: 0 | śr. 19.32 tury | śr. 468.8 komend
    alara | alara                                 aggro 40.0% (4/10) | heuristic 60.0% (6/10)
    alara | dominaria-brg                         aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    alara | dominaria-wu                          aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    alara | final-fantasy                         aggro 0.0% (0/10) | heuristic 100.0% (10/10)
    alara | forgotten-realms                      aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | innistrad-brg                         aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    alara | innistrad-wu                          aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | mirrodin-brg                          aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | mirrodin-wu                           aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    alara | ravnica                               aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | srodziemie                            aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    alara | tarkir-bg                             aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | tarkir-wur                            aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    alara | theros                                aggro 70.0% (7/10) | heuristic 30.0% (3/10)
    alara | warhammer-brg                         aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    alara | warhammer-wu                          aggro 40.0% (4/10) | heuristic 60.0% (6/10)
    alara | wiedzmin                              aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    alara | zendikar                              aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    dominaria-brg | dominaria-brg                 aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    dominaria-brg | dominaria-wu                  aggro 0.0% (0/10) | heuristic 100.0% (10/10)
    dominaria-brg | final-fantasy                 aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    dominaria-brg | forgotten-realms              aggro 40.0% (4/10) | heuristic 60.0% (6/10)
    dominaria-brg | innistrad-brg                 aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    dominaria-brg | innistrad-wu                  aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    dominaria-brg | mirrodin-brg                  aggro 80.0% (8/10) | heuristic 20.0% (2/10)
    dominaria-brg | mirrodin-wu                   aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    dominaria-brg | ravnica                       aggro 60.0% (6/10) | heuristic 40.0% (4/10)
    dominaria-brg | srodziemie                    aggro 70.0% (7/10) | heuristic 30.0% (3/10)
    dominaria-brg | tarkir-bg                     aggro 10.0% (1/10) | heuristic 90.0% (9/10)
    dominaria-brg | tarkir-wur                    aggro 60.0% (6/10) | heuristic 40.0% (4/10)
    dominaria-brg | theros                        aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    dominaria-brg | warhammer-brg                 aggro 40.0% (4/10) | heuristic 60.0% (6/10)
    dominaria-brg | warhammer-wu                  aggro 60.0% (6/10) | heuristic 40.0% (4/10)
    dominaria-brg | wiedzmin                      aggro 60.0% (6/10) | heuristic 40.0% (4/10)
    dominaria-brg | zendikar                      aggro 60.0% (6/10) | heuristic 40.0% (4/10)
    dominaria-wu | dominaria-wu                   aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    dominaria-wu | final-fantasy                  aggro 0.0% (0/10) | heuristic 100.0% (10/10)
    dominaria-wu | forgotten-realms               aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    dominaria-wu | innistrad-brg                  aggro 30.0% (3/10) | heuristic 70.0% (7/10)
    dominaria-wu | innistrad-wu                   aggro 50.0% (5/10) | heuristic 50.0% (5/10)
    dominaria-wu | mirrodin-brg                   aggro 70.0% (7/10) | heuristic 30.0% (3/10)
    dominaria-wu | mirrodin-wu                    aggro 40.0% (4/10) | heuristic 60.0% (6/10)
    dominaria-wu | ravnica                        aggro 70.0% (7/10) | heuristic 30.0% (3/10)
    dominaria-wu | srodziemie                     aggro 70.0% (7/10) | heuristic 30.0% (3/10)
    dominaria-wu | tarkir-bg                      aggro 20.0% (2/10) | heuristic 80.0% (8/10)
    dominaria-wu | tarkir-wur                     aggro 100.0% (10/10) | heuristic 0.0% (0/10)
